COUNTRY,meanval,upperval,lowerval,Age,CNTRY,ISO3,Country.code
Slovakia,2.9585146419245505e-7,5.223069375868408e-7,1.8766887429018073e-7,5,SVK,SVK,703
Slovakia,3.363686287964999e-7,5.329521169167563e-7,2.2899689289239265e-7,10,SVK,SVK,703
Slovakia,1.55825676938542e-6,2.525684228839926e-6,9.944132451165562e-7,15,SVK,SVK,703
Slovakia,2.8691272070588043e-6,4.341737307519934e-6,1.882263497965204e-6,20,SVK,SVK,703
Slovakia,3.6680124255380183e-6,5.533116853525582e-6,2.487221598691558e-6,25,SVK,SVK,703
Slovakia,6.171708040709926e-6,9.000823807879601e-6,4.083692686069372e-6,30,SVK,SVK,703
Slovakia,1.2721030247203133e-5,1.7919753362362716e-5,6.652343970785174e-6,35,SVK,SVK,703
Slovakia,2.0259291863215993e-5,2.9550616981482306e-5,9.844915185637827e-6,40,SVK,SVK,703
Slovakia,3.528517909284604e-5,5.1116394997408056e-5,1.4321232343059526e-5,45,SVK,SVK,703
Slovakia,4.708252391310882e-5,6.863947991700185e-5,1.750164890455029e-5,50,SVK,SVK,703
Slovakia,4.8387357269612945e-5,7.139621433327406e-5,1.8491201504753333e-5,55,SVK,SVK,703
Slovakia,4.394926547603732e-5,6.640491753488352e-5,1.6641172123513632e-5,60,SVK,SVK,703
Slovakia,3.346241633583138e-5,4.744869125253935e-5,1.6417336865476454e-5,65,SVK,SVK,703
Slovakia,2.7232130247387467e-5,3.757350441465861e-5,1.798359242280664e-5,70,SVK,SVK,703
Slovakia,2.6206916985824302e-5,3.7666869680118646e-5,1.9373386210978477e-5,75,SVK,SVK,703
Slovakia,4.169720598478717e-5,5.807244721435386e-5,3.0687869039147223e-005,80,SVK,SVK,703
Slovakia,4.927693518233052e-5,6.881946399790959e-5,3.6742481018989114e-5,85,SVK,SVK,703
Slovakia,6.64083866779146e-5,8.943917495946404e-5,4.967817973339276e-5,90,SVK,SVK,703
Slovakia,6.427337839121142e-5,9.827109334669438e-5,4.8441446094917854e-5,95,SVK,SVK,703
Slovenia,1.009683762760966e-7,1.287438785835439e-7,7.794280579770951e-8,0,SVN,SVN,705
Slovenia,2.36033089621265e-7,3.1797234085510644e-7,1.7316444202486692e-7,1,SVN,SVN,705
Slovenia,1.0002143195187163e-7,1.1317174642446812e-7,8.785284093349172e-8,5,SVN,SVN,705
Slovenia,1.395575224325199e-7,1.8005024517579673e-7,1.0899615358681571e-7,10,SVN,SVN,705
Slovenia,4.839650943817988e-7,6.465900977630498e-7,3.554841523104955e-7,15,SVN,SVN,705
Slovenia,1.1554924982434463e-6,1.5585361089545232e-6,8.449400235496608e-7,20,SVN,SVN,705
Slovenia,1.453873905994095e-6,1.9005936415913772e-6,1.0833997251837441e-6,25,SVN,SVN,705
Slovenia,2.622228782704823e-6,3.4649841796841622e-6,1.9447217895175942e-6,30,SVN,SVN,705
Slovenia,4.735864798829106e-6,6.224139126258618e-6,3.602590649884068e-6,35,SVN,SVN,705
Slovenia,6.929233534362756e-6,8.957407588658319e-6,5.244852284076823e-6,40,SVN,SVN,705
Slovenia,1.1364203508869197e-5,1.468407301734249e-5,8.74151865885268e-6,45,SVN,SVN,705
Slovenia,1.722976752168865e-5,2.191971205279417e-5,1.3387369049799203e-5,50,SVN,SVN,705
Slovenia,1.618278363698831e-5,2.0872035491901846e-5,1.2406094733888346e-5,55,SVN,SVN,705
Slovenia,1.6099786264953003e-5,2.1097103645154035e-5,1.1937910898414197e-5,60,SVN,SVN,705
Slovenia,1.6299528675861075e-5,2.0677283937299903e-5,1.2558783243985361e-5,65,SVN,SVN,705
Slovenia,1.6719266762431003e-5,2.1543594421524945e-5,1.2842086547871788e-5,70,SVN,SVN,705
Slovenia,1.9718206824951818e-5,2.4618548239663947e-5,1.550616077922543e-5,75,SVN,SVN,705
Slovenia,3.0146776321834344e-5,3.7932577666793146e-5,2.34115045940275e-5,80,SVN,SVN,705
Slovenia,4.6293694746210396e-5,5.806269531202181e-5,3.635112029361698e-5,85,SVN,SVN,705
Slovenia,6.727986088508038e-5,8.405154381895466e-5,5.2505139638201446e-5,90,SVN,SVN,705
Slovenia,9.0418864836084e-5,1.1423325340023096e-4,7.051799077286001e-5,95,SVN,SVN,705
Estonia,1.1955662507890766e-6,1.56118995428989e-6,8.682590806939688e-7,0,EST,EST,233
Estonia,1.2332262023939729e-6,1.6666972330163677e-6,8.865704593014668e-7,1,EST,EST,233
Estonia,1.08661846323057e-6,1.4196565965089955e-6,8.216606362836266e-7,5,EST,EST,233
Estonia,9.17658506497287e-7,1.171757658811399e-6,6.918153185667773e-7,10,EST,EST,233
Estonia,4.311141419134671e-6,5.682388585939905e-6,3.2597339646808767e-6,15,EST,EST,233
Estonia,7.778028933191118e-6,1.050642619815821e-5,5.648588190055809e-6,20,EST,EST,233
Estonia,1.3754933315273291e-5,1.7901222045321217e-5,1.0359456730553675e-5,25,EST,EST,233
Estonia,1.9984289104486072e-5,2.6258467875469428e-5,1.5069348656680063e-5,30,EST,EST,233
Estonia,3.4962043494134606e-5,4.45937982610536e-5,2.72114609748076e-5,35,EST,EST,233
Estonia,6.411971669757366e-5,7.96468944815958e-5,5.170653676602812e-5,40,EST,EST,233
Estonia,9.762633909514318e-5,1.2009568029085474e-4,7.916735627198195e-5,45,EST,EST,233
Estonia,1.4786676997891895e-4,1.760512509272753e-4,1.2150885063898213e-4,50,EST,EST,233
Estonia,1.6235823234691775e-4,1.97259931788687e-4,1.3303055463451276e-4,55,EST,EST,233
Estonia,1.6472575168295878e-4,2.0344998214834442e-4,1.3177320740995226e-4,60,EST,EST,233
Estonia,1.203791768531672e-4,1.476895661183821e-4,9.737696766756569e-5,65,EST,EST,233
Estonia,8.736237512825663e-5,1.1058250075447827e-4,6.855228960818924e-5,70,EST,EST,233
Estonia,6.51625811051214e-5,8.07144803330321e-5,5.236878764926153e-5,75,EST,EST,233
Estonia,8.025011986262974e-5,9.976115817667859e-5,6.38214610698219e-5,80,EST,EST,233
Estonia,9.085761557348707e-5,1.1354064333352495e-4,7.095388445778548e-5,85,EST,EST,233
Estonia,1.0955702667296227e-4,1.368500453567394e-4,8.643383836707362e-5,90,EST,EST,233
Estonia,1.676248974328061e-4,2.0577813035567677e-4,1.3383064712755322e-4,95,EST,EST,233
Latvia,1.3273517246365812e-006,1.8811522534640417e-6,9.326911466042521e-7,0,LVA,LVA,428
Latvia,3.951040048488574e-7,5.659758769510911e-7,2.683040884420631e-7,1,LVA,LVA,428
Latvia,1.3942355151046129e-7,1.6658693480411927e-7,1.0661585189927559e-7,5,LVA,LVA,428
Latvia,1.4452567152233896e-7,1.7078927578308815e-7,1.0811974236793663e-7,10,LVA,LVA,428
Latvia,3.114648792027648e-6,4.068058828466066e-6,2.3216674007326137e-6,15,LVA,LVA,428
Latvia,7.877798806325603e-6,1.0345012080671189e-5,6.0391511895848e-6,20,LVA,LVA,428
Latvia,1.7597616708667547e-5,2.278162961539408e-5,1.3500842784722484e-5,25,LVA,LVA,428
Latvia,2.934621914107101e-5,3.705144111333698e-5,2.2907079097117358e-5,30,LVA,LVA,428
Latvia,5.445307449319761e-5,6.590114794329546e-5,4.416999319914221e-5,35,LVA,LVA,428
Latvia,9.1908699497383e-5,1.1055882193650414e-4,7.527413887285736e-5,40,LVA,LVA,428
Latvia,1.4334747909869745e-4,1.694764361540732e-4,1.1943378960978558e-4,45,LVA,LVA,428
Latvia,1.9873038019886728e-4,2.3357694728975132e-4,1.6574480323901193e-4,50,LVA,LVA,428
Latvia,2.122896395554121e-4,2.493098454232644e-4,1.7859505925578082e-4,55,LVA,LVA,428
Latvia,2.2454856746457975e-4,2.668160643423613e-4,1.859138013782421e-4,60,LVA,LVA,428
Latvia,1.5906762688957054e-4,1.8948600054247846e-4,1.3120199635252496e-4,65,LVA,LVA,428
Latvia,1.0694894972913531e-4,1.3220034051114878e-4,8.536509331751237e-5,70,LVA,LVA,428
Latvia,7.95633342739388e-5,9.788045395065502e-5,6.335926712947136e-5,75,LVA,LVA,428
Latvia,6.971384380204573e-5,8.763856656350349e-5,5.505033902530662e-5,80,LVA,LVA,428
Latvia,7.441725978826635e-5,9.471633922192216e-5,5.7617187310728696e-5,85,LVA,LVA,428
Latvia,8.637984917740043e-5,1.1135080732517973e-4,6.586654153941286e-5,90,LVA,LVA,428
Latvia,1.0686898304567491e-4,1.381777380353142e-4,8.083419840976661e-5,95,LVA,LVA,428
Lithuania,2.445811420643962e-6,3.1334059019198562e-6,1.8652646922404775e-6,0,LTU,LTU,440
Lithuania,2.2046973555145154e-6,2.892951093432545e-6,1.6225524862119329e-6,1,LTU,LTU,440
Lithuania,9.209770583194878e-7,1.1964205992987743e-6,7.089341533574761e-7,5,LTU,LTU,440
Lithuania,9.617553241525722e-7,1.2404688755740477e-6,7.325530068379662e-7,10,LTU,LTU,440
Lithuania,6.109015774712056e-6,7.816918246827199e-6,4.6736192537884165e-6,15,LTU,LTU,440
Lithuania,1.074360458373064e-5,1.3904571551009045e-5,8.22627371218885e-6,20,LTU,LTU,440
Lithuania,2.4466727137157556e-5,3.0358529072276637e-5,1.9604160380204438e-5,25,LTU,LTU,440
Lithuania,4.249955649446234e-5,5.261883785319042e-5,3.3991386721969837e-5,30,LTU,LTU,440
Lithuania,6.835056196120989e-5,8.180282235528515e-5,5.671025900749088e-5,35,LTU,LTU,440
Lithuania,1.1038758082662533e-4,1.2986963987661286e-4,9.281773857411983e-5,40,LTU,LTU,440
Lithuania,1.6978882751432086e-4,1.958443345793815e-4,1.45939831712339e-4,45,LTU,LTU,440
Lithuania,2.2303368726030021e-4,2.559102013349155e-4,1.92088680663962e-4,50,LTU,LTU,440
Lithuania,2.5829010879430906e-4,2.9914562454343873e-4,2.2217327518587467e-4,55,LTU,LTU,440
